"Story","Title","Result","Date","Stability","Duration (s)"
"Crear un autor","Creación de autor exitoso","SUCCESS","2023-02-24T12:51:10.0482138-05:00[America/Bogota]","0.0","5.86"
"Crear un autor","Creación de autor no exitoso","SUCCESS","2023-02-24T12:51:15.9272142-05:00[America/Bogota]","0.0","1.16"
"Editar un autor","Edición de autor exitoso","SUCCESS","2023-02-24T12:51:18.1981088-05:00[America/Bogota]","0.0","1.13"
"Editar un autor","Edición de autor no exitoso","SUCCESS","2023-02-24T12:51:19.3423357-05:00[America/Bogota]","0.0","1.1"
"Eliminar un autor","Eliminación de autor exitoso","SUCCESS","2023-02-24T12:51:20.5410416-05:00[America/Bogota]","0.0","1.17"
"Eliminar un autor","Eliminación de autor no exitoso","SUCCESS","2023-02-24T12:51:21.7263945-05:00[America/Bogota]","0.0","1.08"
"Crear un libro","Creación de libro exitoso","SUCCESS","2023-02-24T12:58:25.5465408-05:00[America/Bogota]","0.0","5.83"
"Crear un libro","Creación de libro no exitoso","SUCCESS","2023-02-24T12:58:31.4000637-05:00[America/Bogota]","0.0","1.18"
"Editar un libro","Edición de libro exitoso","SUCCESS","2023-02-24T12:58:33.7106361-05:00[America/Bogota]","0.0","1.16"
"Editar un libro","Edición de libro no exitoso","SUCCESS","2023-02-24T12:58:34.8797107-05:00[America/Bogota]","0.0","1.09"
"Eliminar un libro","Eliminación de libro exitoso","SUCCESS","2023-02-24T12:58:36.074662-05:00[America/Bogota]","0.0","1.15"
"Eliminar un libro","Eliminación de libro no exitoso","SUCCESS","2023-02-24T12:58:37.2307804-05:00[America/Bogota]","0.0","1.06"
"Crear un usuario","Creación de usuario exitoso","SUCCESS","2023-02-24T13:05:02.5361591-05:00[America/Bogota]","0.0","5.8"
"Crear un usuario","Creación de usuario no exitoso","SUCCESS","2023-02-24T13:05:08.3508727-05:00[America/Bogota]","0.0","1.13"
"Editar un usuario","Edición de usuario exitoso","SUCCESS","2023-02-24T13:05:10.609964-05:00[America/Bogota]","0.0","1.15"
"Editar un usuario","Edición de usuario no exitoso","SUCCESS","2023-02-24T13:05:11.7690022-05:00[America/Bogota]","0.0","1.12"
"Eliminar un usuario","Eliminación de usuario exitoso","SUCCESS","2023-02-24T13:05:12.9951133-05:00[America/Bogota]","0.0","1.18"
"Eliminar un usuario","Eliminación de usuario no exitoso","SUCCESS","2023-02-24T13:05:14.184292-05:00[America/Bogota]","0.0","1.07"
